years_experience_capped,experience_level_encoded,company_size_encoded,remote_category,skills_count,benefits_score_normalized,job_desc_log,location_salary_premium,country_grouped_Austria,country_grouped_Canada,country_grouped_China,country_grouped_Denmark,country_grouped_France,country_grouped_Germany,country_grouped_India,country_grouped_Israel,country_grouped_Other,country_grouped_Singapore,country_grouped_Sweden,job_category_Data Analyst,job_category_Data Engineer,job_category_Data Scientist,job_category_ML Engineer,job_category_Management,job_category_Other
9,3,2,2,5,0.18000000000000008,6.981934677156389,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1,1,2,3,5,0.040000000000000036,7.1459844677143876,0.006890326463066045,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,2,3,0,5,0.8800000000000001,7.5883236773352225,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
7,3,2,2,4,0.72,7.204892510204673,-0.23740033097638033,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
0,1,1,3,4,0.31999999999999995,7.595889917718538,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
7,3,2,2,4,0.18000000000000008,6.709304340258298,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
3,2,1,0,3,0.25999999999999995,7.5688956634069955,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
0,1,3,0,5,0.5199999999999999,7.160069207596127,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
7,3,3,0,4,0.8600000000000001,6.313548046277095,0.15462614713404543,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
5,3,2,0,5,0.15999999999999998,7.75833346749091,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
8,3,2,3,3,0.9800000000000001,6.954638864880987,0.09758788425856275,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
15,4,1,0,4,0.36,6.2422232654551655,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
5,3,2,3,3,0.040000000000000036,6.634633357861686,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
0,1,1,0,3,0.82,7.4133673356952405,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
6,3,2,3,4,0.9600000000000002,7.2909747781429814,0.09758788425856275,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
0,1,3,0,3,0.9199999999999999,7.630461261783627,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1,1,3,3,3,0.15999999999999998,7.0909098220799835,-0.23740033097638033,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
15,4,3,3,3,0.7399999999999999,7.669961995473577,0.022095180783310766,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
9,3,2,0,5,0.72,6.380122536899765,0.15462614713404543,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
4,2,3,3,5,0.34,7.501082124259871,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
3,2,2,0,3,0.9199999999999999,6.877296071497429,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,2,2,0,5,1.0,6.439350371100098,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
7,3,1,0,3,0.38000000000000006,7.396335293800808,0.07239356100496465,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
4,2,2,3,3,0.8600000000000001,7.740229524763182,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2,2,1,0,5,0.4800000000000001,6.914730892718563,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
6,3,3,3,5,0.7600000000000001,7.044905117129371,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
2,2,1,2,4,0.54,7.6544432264701125,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,2,2,0,5,0.72,7.650644551436897,-0.25776039315982147,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
0,1,2,2,5,0.72,7.690743163541872,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2,2,3,3,5,0.25999999999999995,7.10085190894405,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1,1,2,3,5,0.2,6.78897174299217,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1,1,2,0,3,0.8399999999999999,7.555381944240273,0.47940925730906175,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
7,3,1,2,3,0.05999999999999996,6.529418838262226,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
16,4,2,0,5,0.14000000000000004,7.523481312573497,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
8,3,3,0,4,0.5800000000000001,7.316548177182976,0.09758788425856275,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False
10,4,3,0,3,0.9800000000000001,7.140453043101158,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2,2,2,3,5,0.21999999999999992,6.906754778648554,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
18,4,1,0,4,0.6199999999999999,6.93828448401696,-0.21153402537485583,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
1,1,2,2,3,0.6,7.751045117971802,-0.2323053006368788,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
15,4,3,3,3,0.019999999999999928,6.723832440821209,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
2,2,2,0,4,0.05999999999999996,6.635946555686647,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
8,3,3,2,3,0.5,7.736743682453495,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
1,1,3,3,3,0.1,6.220590170099739,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
8,3,2,2,4,0.6,7.156176637480615,0.15462614713404543,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
5,3,2,2,3,0.4800000000000001,7.563719668414366,0.03445163231533022,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
